L1,OBJECTID_1,hw_type,Corrected,Shape_Leng,angle,angle_abs,startX,midX,endX,startY,midY,endY
2711,2585,"0","1",416.228647176,0.00694717589146188,0.00694717589146188,655666.8618,655658.9243,655650.9868,4085535.8728,4085743.8357,4085951.7986
2712,2586,"1","1",2509.03776024,0.0313779591321383,0.0313779591321383,659288.2369,658520.808651582,657638.5407,4082583.7548,4083574.25659217,4084459.5456
2713,2587,"1","1",900.489465492,0.00764195922762771,0.00764195922762771,656559.0386,656942.000035831,657333.7401,4083976.9446,4084213.67018874,4084434.1455
2714,2588,"2","1",1053.06965703,-0.0176830504700093,179.98231694953,684952.5494,684872.582427474,684804.5968,4063509.025,4062988.67186229,4062466.6314
2715,2589,"2","1",221.674064225,-0.00370794322679954,179.996292056773,684770.9712,684752.47715,684733.9831,4062315.3163,4062206.0331,4062096.7499
2716,2590,"0","1",422.964314138,0.00464688159491842,0.00464688159491842,684728.1766,684893.472229429,685050.0637,4062367.5244,4062499.44125885,4062641.4846
2717,2591,"1","1",1099.98359642,-0.0175459031974601,179.982454096803,673784.8745,673946.818697339,674143.3654,4055055.7445,4054534.27052725,4054020.6021
2718,2592,"0","1",428.081472725,-0.00685180724309468,179.993148192757,679650.6815,679581.008442543,679507.2852,4052523.9027,4052321.51914858,4052120.6005
2719,2593,"2","1",282.970747596,-0.00388234492910298,179.996117655071,679525.2097,679449.82443637,679359.4077,4052523.9027,4052404.17311708,4052295.3648
2720,2594,"2","1",334.833141533,-0.00426306366747942,179.995736936333,679233.9359,679113.496145714,679014.3602,4052178.8552,4052062.56859822,4051927.9116
2721,2595,"2","1",323.930219519,-0.00411091092298516,179.995889089077,678808.2279,678704.147146298,678593.1334,4051663.5246,4051539.42829269,4051421.5432
2722,2596,"2","1",1122.55471761,-0.0160667782851364,179.983933221715,678346.6709,678013.852976856,677750.6798,4051112.3449,4050660.77347563,4050166.8252
2723,2597,"2","1",347.385995146,-0.00408403484153154,179.995915965158,677750.6798,677633.16222271,677501.3494,4050166.8252,4050039.28568147,4049926.457
2724,2598,"2","1",484.386054672,-0.00743453473920154,179.992565465261,677750.6798,677683.109739949,677558.5287,4050166.8252,4049934.61517414,4049729.287
2725,2599,"2","1",342.726146614,0.00133999674950106,0.00133999674950106,677558.5287,677723.643670517,677891.746,4049729.287,4049774.88474729,4049808.155
2726,2600,"2","1",481.604555031,0.00244577005728834,0.00244577005728834,678169.7557,678397.624550557,678629.1617,4049894.9098,4049972.6904021,4050038.8439
2727,2601,"2","1",416.963232287,0.00686607823982427,0.00686607823982427,677329.8115,677391.20952584,677420.5097,4049865.3343,4050063.16152401,4050269.5328
2728,2602,"2","1",276.74232027,0.00442086228962653,0.00442086228962653,677420.5097,677460.323342103,677513.1796,4050269.5328,4050401.9191567,4050529.7972
2729,2603,"2","1",411.758507173,0.00689892604559421,0.00689892604559421,677420.5097,677403.074771385,677361.3587,4050269.5328,4050474.20781451,4050675.703
2730,2604,"2","1",387.319165289,0.00452156108816746,0.00452156108816746,677055.7453,676921.968709362,676775.7639,4049731.2587,4049870.44145667,4049997.4382
2731,2605,"2","1",361.771727646,0.00589463465115852,0.00589463465115852,677055.7453,677033.407666251,676968.9905,4049731.2587,4049909.43199678,4050078.2779
2732,2606,"2","1",368.938032072,0.00425374105756394,0.00425374105756394,677235.17,677117.024734107,676968.9905,4049827.872,4049968.8691854,4050078.2779
2733,2607,"2","1",503.147630362,0.00696536035282215,0.00696536035282215,676968.9905,676833.525342159,676683.094,4050078.2779,4050288.37777166,4050488.3915
2734,2608,"2","1",648.068164731,0.0107130256944085,0.0107130256944085,676683.094,676584.613912835,676556.9052,4050488.3915,4050796.58483373,4051119.3354
2735,2609,"2","1",248.559355776,0.00281289289937976,0.00281289289937976,676679.1506,676586.4807,676493.8108,4050082.2213,4050165.0327,4050247.8441
2736,2610,"2","1",494.084068443,0.00575831619858368,0.00575831619858368,676306.4993,676124.658992698,675947.65,4050366.1461,4050533.26220341,4050705.2785
2737,2611,"2","1",1253.66412534,-0.0140645152774845,179.985935484723,671303.7901,671722.069961881,672226.1734,4062316.3177,4061853.4137888,4061484.123
2738,2612,"2","1",960.238888178,-0.0116400343284847,179.988359965672,671525.1621,671853.731182788,672193.3775,4062267.1239,4061917.278204,4061578.4111
2739,2613,"2","1",863.648078148,0.0144813011161717,0.0144813011161717,672427.048,672449.182257704,672500.8386,4061496.4214,4061925.54280395,4062353.213
2740,2614,"2","1",280.597408367,0.0046419260524477,0.0046419260524477,672521.336,672550.0324,672578.7288,4062467.9985,4062605.3311,4062742.6637
2741,2615,"2","1",4774.71981045,0.0803319672919904,0.0803319672919904,670421.8892,670270.010930707,670202.8232,4057028.115,4059397.99590956,4061783.0008
2742,2616,"2","1",1990.13657225,0.0334415511852121,0.0334415511852121,670200.5172,670311.406796061,670382.6879,4061976.7013,4062965.38133282,4063957.5193
2743,2617,"2","1",1803.09021387,0.0302898247251403,0.0302898247251403,670200.5172,670123.055022424,670027.5704,4061976.7013,4062874.43077852,4063770.7367
2744,2618,"2","1",1343.66118959,-0.0197430521974897,179.980256947803,670094.4432,670403.915427968,670751.6412,4064137.3841,4063541.1716908,4062968.2633
2745,2619,"2","1",1434.57046388,0.0221137587314157,0.0221137587314157,671761.6509,671479.259035728,671178.2435,4064045.1458,4064704.23129294,4065354.93
